Article ID,Article Title,Pillar,Pillar Category,Student Category,Teacher Category,Professional Category,Parent Category,Senior Citizen Category,Small Business Category
S005,AI and Data Privacy,Stay Safe,Privacy & Security,AI Safety for Students,Safe AI for Classrooms,Secure AI at Work,Safe AI for Families,Stay Safe Online,Safe AI for Business
S006,Safe Prompting Practices,Stay Safe,Responsible AI,AI Safety for Students,Safe AI for Classrooms,Secure AI at Work,Safe AI for Families,Stay Safe Online,Safe AI for Business
S007,AI Misinformation Explained,Stay Safe,Responsible AI,AI Safety for Students,Safe AI for Classrooms,Secure AI at Work,Safe AI for Families,Stay Safe Online,Safe AI for Business
S008,Avoiding AI-Enabled Fraud,Stay Safe,AI Scams,AI Safety for Students,Safe AI for Classrooms,Secure AI at Work,Safe AI for Families,Stay Safe Online,Safe AI for Business
S009,Responsible AI Usage,Stay Safe,Responsible AI,AI Safety for Students,Safe AI for Classrooms,Secure AI at Work,Safe AI for Families,Stay Safe Online,Safe AI for Business
S010,AI Ethics Simplified,Stay Safe,Responsible AI,AI Safety for Students,Safe AI for Classrooms,Secure AI at Work,Safe AI for Families,Stay Safe Online,Safe AI for Business
G001,AI Skills Every Student Should Learn,Grow with AI,Future Skills,Future Careers,,,,,
G002,AI Skills for Professionals,Grow with AI,Future Skills,,,Career Growth,,,
G003,AI Career Paths Explained,Grow with AI,AI Careers,Future Careers,Future of Education,Career Growth,Future Ready Parenting,Digital Confidence,Grow Your Business
G004,Top AI Certifications,Grow with AI,AI Careers,,,Career Growth,,,
G005,Building a Business with AI,Grow with AI,Entrepreneurship,,,,,,Grow Your Business
G006,Future of Work in the AI Era,Grow with AI,Productivity,,Future of Education,Career Growth,,,Grow Your Business
G007,AI Freelancing Opportunities,Grow with AI,Entrepreneurship,,,Career Growth,,,Grow Your Business
G008,AI for Business Growth,Grow with AI,Entrepreneurship,,,,,,Grow Your Business
G009,AI Careers for Students,Grow with AI,AI Careers,Future Careers,,,,,
G010,How to Stay Relevant in an AI-Driven World,Grow with AI,Future Skills,Future Careers,Future of Education,Career Growth,Future Ready Parenting,Digital Confidence,Grow Your Business
